	brewery_type	name	street	city	postal_code	phone	yelp_rating	yelp_review_count
0	brewpub	LAB Brewing Co / Twisted Oak Tavern	30105 Agoura Rd	Agoura Hills	91301-2003	8187350091	4.0	397
1	brewpub	Ladyface Ale Companie	29281 Agoura Rd	Agoura Hills	91301-2597	8184774566	3.5	959
2	micro	Alameda Island Brewing Company	1716 Park St	Alameda	94501-1416	5102178885	4.5	299
3	micro	Almanac Beer Company	651B W Tower Ave	Alameda	94501-5047	4159326531	4.5	34
4	micro	Faction Brewing Co	2501 Monarch St Ste 200	Alameda	94501-5098	5105232739	4.5	476
5	brewpub	Junction Brewery & Grill	110 W American Canyon Rd	American Canyon	94503-4196	7076492285	3.5	240
6	micro	Back Street Brewery & Tasting Room	1884 S Santa Cruz St	Anaheim	92805-6726	6572364050	4.5	183
7	micro	Anaheim Brewery	336 S Anaheim Blvd	Anaheim	92805-3830	7147801888	4.0	298
8	planning	Ballast Point Brewing Company		Anaheim	92802-2294		3.0	310
9	planning	Ballast Point Brewing Company		Anaheim	92802-2294		3.5	2156
10	planning	Ballast Point Brewing Company		Anaheim	92802-2294		4.0	1808
11	planning	Ballast Point Brewing Company		Anaheim	92802-2294		4.0	1808
12	large	Ballast Point Brewing Company	110 N Marina Dr	Long Beach	90803-4601	8586952739	3.0	310
13	large	Ballast Point Brewing Company	110 N Marina Dr	Long Beach	90803-4601	8586952739	3.5	2156
14	large	Ballast Point Brewing Company	110 N Marina Dr	Long Beach	90803-4601	8586952739	4.0	1808
15	large	Ballast Point Brewing Company	110 N Marina Dr	Long Beach	90803-4601	8586952739	4.0	1808
16	large	Ballast Point Brewing Company	9045 Carroll Way	San Diego	92121-2405	8586952739	3.0	310
17	large	Ballast Point Brewing Company	9045 Carroll Way	San Diego	92121-2405	8586952739	3.5	2156
18	large	Ballast Point Brewing Company	9045 Carroll Way	San Diego	92121-2405	8586952739	4.0	1808
19	large	Ballast Point Brewing Company	9045 Carroll Way	San Diego	92121-2405	8586952739	4.0	1808
20	large	Ballast Point Brewing Company	7606 Trade St	San Diego	92121-2405	8586952739	3.0	310
21	large	Ballast Point Brewing Company	7606 Trade St	San Diego	92121-2405	8586952739	3.5	2156
22	large	Ballast Point Brewing Company	7606 Trade St	San Diego	92121-2405	8586952739	4.0	1808
