Name,Type,County,,,
Adelanto,City,San Bernardino,,,
Agoura Hills,City,Los Angeles,,,
Alameda,City,Alameda,,,
Albany,City,Alameda,,,
Alhambra,City,Los Angeles,,,
Aliso Viejo,City,Orange,,,
Alturas,City,Modoc,,,
Amador City,City,Amador,,,
American Canyon,City,Napa,,,
Anaheim,City,Orange,,,
Anderson,City,Shasta,,,
Angels Camp,City,Calaveras,,,
Antioch,City,Contra Costa,,,
Apple Valley,Town,San Bernardino,,,
Arcadia,City,Los Angeles,,,
Arcata,City,Humboldt,,,
Arroyo Grande,City,San Luis Obispo,,,
Artesia,City,Los Angeles,,,
Arvin,City,Kern,,,
Atascadero,City,San Luis Obispo,,,
Atherton,Town,San Mateo,,,
Atwater,City,Merced,,,
Auburn,City,Placer,,,
Avalon,City,Los Angeles,,,
Avenal,City,Kings,,,
Azusa,City,Los Angeles,,,
Bakersfield,City,Kern,,,
Baldwin Park,City,Los Angeles,,,
Banning,City,Riverside,,,
Barstow,City,San Bernardino,,,
Beaumont,City,Riverside,,,
Bell,City,Los Angeles,,,
Bell Gardens,City,Los Angeles,,,
Bellflower,City,Los Angeles,,,
Belmont,City,San Mateo,,,
Belvedere,City,Marin,,,
Benicia,City,Solano,,,
Berkeley,City,Alameda,,,
Beverly Hills,City,Los Angeles,,,
Big Bear Lake,City,San Bernardino,,,
Biggs,City,Butte,,,
Bishop,City,Inyo,,,
Blue Lake,City,Humboldt,,,
Blythe,City,Riverside,,,
Bradbury,City,Los Angeles,,,
Brawley,City,Imperial,,,
Brea,City,Orange,,,
Brentwood,City,Contra Costa,,,
Brisbane,City,San Mateo,,,
Buellton,City,Santa Barbara,,,
Buena Park,City,Orange,,,
Burbank,City,Los Angeles,,,
Burlingame,City,San Mateo,,,
Calabasas,City,Los Angeles,,,
Calexico,City,Imperial,,,
California City,City,Kern,,,
Calimesa,City,Riverside,,,
Calipatria,City,Imperial,,,
Calistoga,City,Napa,,,
Camarillo,City,Ventura,,,
Campbell,City,Santa Clara,,,
Canyon Lake,City,Riverside,,,
Capitola,City,Santa Cruz,,,
Carlsbad,City,San Diego,,,
Carmel-by-the-Sea,City,Monterey,,,
Carpinteria,City,Santa Barbara,,,
Carson,City,Los Angeles,,,
Cathedral City,City,Riverside,,,
Ceres,City,Stanislaus,,,
Cerritos,City,Los Angeles,,,
Chico,City,Butte,,,
Chino,City,San Bernardino,,,
Chino Hills,City,San Bernardino,,,
Chowchilla,City,Madera,,,
Chula Vista,City,San Diego,,,
Citrus Heights,City,Sacramento,,,
Claremont,City,Los Angeles,,,
Clayton,City,Contra Costa,,,
Clearlake,City,Lake,,,
Cloverdale,City,Sonoma,,,
Clovis,City,Fresno,,,
Coachella,City,Riverside,,,
Coalinga,City,Fresno,,,
Colfax,City,Placer,,,
Colma,Town,San Mateo,,,
Colton,City,San Bernardino,,,
Colusa,City,Colusa,,,
Commerce,City,Los Angeles,,,
Compton,City,Los Angeles,,,
Concord,City,Contra Costa,,,
Corcoran,City,Kings,,,
Corning,City,Tehama,,,
Corona,City,Riverside,,,
Coronado,City,San Diego,,,
Corte Madera,Town,Marin,,,
