,names_on_brewery_api,name_on_yelp,yelp_business_id,yelp_rating,yelp_review_count,yelp_closed_status
0,LAB Brewing Co / Twisted Oak Tavern,Twisted Oak Tavern,_4C85CXH5_mIY_dbWQ8HlA,4.0,397,False
1,Ladyface Ale Companie,Ladyface Alehouse & Brasserie,iw667W0AGliJ-TPxDu5JGQ,3.5,959,False
2,Alameda Island Brewing Company,Alameda Island Brewing Company,LgFUgPXhXk8VS8JJEJrxzw,4.5,299,False
3,Almanac Beer Company,The Rake at Admiral Maltings,9S3xB2_dQduzRVMe6m6ZeA,4.5,34,False
4,Faction Brewing Co,Faction Brewing,eOs3gVvWZGwur8ZsrhHDuw,4.5,476,False
5,Junction Brewery & Grill,Junction Brewery and Grill,XyqK3TnpcUhViuyGrWzlhQ,3.5,240,False
6,Back Street Brewery & Tasting Room,Backstreet Brewery,S_v3CYgl_MFgoSqJMAyeEQ,4.5,183,False
7,Anaheim Brewery,Anaheim Brewery,59GX_ro4Rmwj9DuhdIZIBA,4.0,298,False
8,Ballast Point Brewing Company,Ballast Point Anaheim,Dn6mk8tUQKKn9dVOZzMfzQ,3.0,310,False
9,Bottle Logic Brewing,Bottle Logic Brewing,WpYDDE4SsGiRO73zppX_Jg,4.5,695,False
10,Brewheim Brewing Company,Brewheim Beer Makers,pdNwlJA8fFwnWXpbEXXflA,5.0,85,False
11,Bruery Terreux,Bruery Terreux Tasting Room,eMXcWzT-e2H_vvq3FO0FpQ,4.5,228,False
12,Legends Craft Brewery,Legends Craft Brewery,U7krsboRcZu8hut7REpuNQ,4.5,176,False
13,JT Schmids Restaurant & Brewery,JT Schmid's Restaurant & Brewery - Anaheim,8ZL-Qw9GPb2_VXdqGTBLsg,3.0,667,False
14,Phantom Ales,Phantom Ales,N7Cos0Y2w_i1tzDma66fNQ,4.5,450,False
15,Mt Lowe Brewing Company,Mt. Lowe Brewing Co.,DiGbBWKcXglZrlq1qSkA1A,4.5,360,False
16,Figueroa Mountain Brewing - Arroyo Grande,Figueroa Mountain Brewing,4acuw-KjV3BarP7vksbBJg,4.0,340,False
17,Dead Oak Brewing Company,Dead Oak Brewing Company,S9d2hrwKNxcvsiecQdeTJA,5.0,33,False
18,Tent City Beer Company,Tent City Beer Company,lIGTmEbKeSVx2nNiGsUzVA,4.5,75,False
19,Auburn Alehouse,Auburn Alehouse,b2w-zSoTWIzhUvhNj89cEg,4.0,1049,False
20,Tap and Vine,Tap & Vine,zQt0rseCf2fZWgLMuNpY1g,4.0,262,False
21,Crooked Lane Brewing Co,Crooked Lane Brewing,SPmGIRCuw2y31ODwCS4_3A,4.5,130,False
22,Catalina Island Brew House,Catalina Island Brew House,20Q6hLAaPhngZWa3UzLqXg,4.5,260,False
23,Great Change Brewing,Great Change Brewing,C_XfFaOLTWoRYvFJcRmVWw,4.5,26,False
24,Lengthwise Brewing Co,Lengthwise Brewing Company,u0aKPCEFmumpsNHvM1wq2w,4.5,357,False
25,Temblor Brewing Company,Temblor Brewing Company,d4PcjEa7FPaNXZ-2a81eVA,4.0,516,False
